Student_Identifier,cNum,year,semester,CourseGrade
aKtF7xlCj,CS171,2019,Fall,A
OcbMCqoATE,CS171,2019,Fall,C-
Ki437ImMiB,CS171,2019,Fall,C+
VkA4Ln4RP8,CS171,2019,Fall,C+
Vv5mvmR93y,CS171,2019,Fall,C
9mCMQL1myp,CS171,2019,Fall,B-
FGVfybCruk,CS171,2019,Fall,C-
ybgAEICak2,CS171,2019,Fall,A
WJrWAidLZ5,CS377,2020,Spring,D
tmt3aPs20s,CS377,2020,Spring,C+
PiQvBSPut9,CS377,2020,Spring,C
pSE2USVUGe,CS377,2020,Spring,C
uZfhzJCf3Q,CS377,2020,Spring,D+
2ruNWPmicg,CS377,2020,Spring,D+
5xTn7laQAz,CS377,2020,Spring,D
UPLEFa48ob,CS377,2020,Spring,A
g0aGB2MNq6,CS377,2020,Spring,B-
vMCwbZJ5UI,CS377,2020,Spring,D
P80TDV5kec,CS377,2020,Spring,D
UX8dL9oWOH,CS377,2020,Spring,D
erGZXNCSa8,CS377,2020,Spring,B
aKtF7xlCj,CS377,2020,Spring,C+
OcbMCqoATE,CS377,2020,Spring,B+
Ki437ImMiB,CS377,2020,Spring,A-
VkA4Ln4RP8,CS377,2020,Spring,C-
Vv5mvmR93y,CS377,2020,Spring,A
9mCMQL1myp,CS377,2020,Spring,D+
8uv1aK9btU,CS171,2020,Fall,C+
cp5asEx6KR,CS171,2020,Fall,D
RxNqRHaaoI,CS171,2020,Fall,A
AnRRwDoMFm,CS171,2020,Fall,B+
RwKSObZt8b,CS171,2020,Fall,B+
QVsfnLS8nP,CS171,2020,Fall,A
piajOfWMIT,CS171,2020,Fall,B-
lKOmgoDP5M,CS171,2020,Fall,C-
xrWlqSyLPV,CS171,2020,Fall,B+
k4hG2bKBi2,CS171,2020,Fall,C-
OhfDW5FQet,CS171,2020,Fall,B
0Bb2zMzQAL,CS171,2020,Fall,C+
qjAClhRo8T,CS171,2020,Fall,D+
MMNPTkNHZg,CS171,2020,Fall,C+
v9ksRoAENe,CS171,2020,Fall,C+
I8k5HwpLlU,CS171,2020,Fall,A
pAA8hhbaAf,CS171,2020,Fall,C
kJQAvxlegv,CS171,2020,Fall,B
l8Ck5AEii7,CS171,2020,Fall,B-
EIBGkZJ8LU,CS171,2020,Fall,B
WVztzxaqG1,CS171,2020,Fall,C-
nlNo3Ifie2,CS171,2020,Fall,C+
fe20lUruvB,CS171,2020,Fall,A
q24FfeogSR,CS171,2020,Fall,A
1aRjlUAYpO,CS171,2020,Fall,B
WUMHFJy3AG,CS171,2020,Fall,C-
ujARr06uDs,CS171,2020,Fall,D
RtDWbzvtoo,CS171,2020,Fall,B-
bCSKEQsp82,CS171,2020,Fall,A
xshALL98rR,CS377,2021,Spring,C+
8uv1aK9btU,CS377,2021,Spring,D+
cp5asEx6KR,CS377,2021,Spring,A
RxNqRHaaoI,CS377,2021,Spring,C
AnRRwDoMFm,CS377,2021,Spring,D
RwKSObZt8b,CS377,2021,Spring,D+
QVsfnLS8nP,CS377,2021,Spring,A
qjAClhRo8T,CS377,2021,Spring,B+
MMNPTkNHZg,CS377,2021,Spring,B+
v9ksRoAENe,CS377,2021,Spring,D
I8k5HwpLlU,CS377,2021,Spring,B-
pAA8hhbaAf,CS377,2021,Spring,D
kJQAvxlegv,CS377,2021,Spring,B+
l8Ck5AEii7,CS377,2021,Spring,B
EIBGkZJ8LU,CS377,2021,Spring,C
WVztzxaqG1,CS377,2021,Spring,A
nlNo3Ifie2,CS377,2021,Spring,B
fe20lUruvB,CS377,2021,Spring,A
k4hG2bKBi2,CS377,2021,Spring,B-
OhfDW5FQet,CS377,2021,Spring,C
qBhsb9AT1D,CS171,2021,Fall,
wUSNkrt2i7,CS171,2021,Fall,
YXCMIivcy6,CS171,2021,Fall,
loWO7ep40W,CS171,2021,Fall,
AyZm6kgtLQ,CS171,2021,Fall,
RCkC4TjYNZ,CS171,2021,Fall,
SGDgfAoZn8,CS171,2021,Fall,
UuUxEvmxXO,CS171,2021,Fall,
9wHtriXf8s,CS171,2021,Fall,
j3BjhOJA0K,CS171,2021,Fall,
77JVECgA9Y,CS171,2021,Fall,
LRH33DL7sR,CS171,2021,Fall,
82rggZxf5c,CS171,2021,Fall,
ffD2jzc574,CS171,2021,Fall,
zMdmtuvTDn,CS171,2021,Fall,
4RygfhpS1h,CS171,2021,Fall,
WW56HAP2R1,CS171,2021,Fall,
Sx6sqg2Av5,CS171,2021,Fall,
Oojd410rxz,CS171,2021,Fall,
bSZa17FK2l,CS377,2021,Fall,
A3mMrNEFsy,CS377,2021,Fall,
ize3lkeNiR,CS377,2021,Fall,
fk7USWbA60,CS377,2021,Fall,
Xo3aGKAsfE,CS377,2021,Fall,
q24FfeogSR,CS377,2021,Fall,
1aRjlUAYpO,CS377,2021,Fall,
WUMHFJy3AG,CS377,2021,Fall,
ujARr06uDs,CS377,2021,Fall,
RtDWbzvtoo,CS377,2021,Fall,
bCSKEQsp82,CS377,2021,Fall,
